('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         947149 function calls (926387 primitive calls) in 6.868 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
      281    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       96    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.026    0.026 client.py:1(<module>)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       47    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      276    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      105    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      122    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
       36    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      153    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.059    0.059 ssl.py:683(create_default_context)
      179    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
   108/90    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
    16/12    0.000    0.000    0.076    0.006 {built-in method builtins.__import__}
       14    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        1    0.000    0.000    0.774    0.774 client.py:1384(getresponse)
       20    0.000    0.000    0.001    0.000 typing.py:740(Optional)
        1    0.000    0.000    0.740    0.740 client.py:291(_read_status)
        4    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
        4    0.000    0.000    0.000    0.000 filter.py:378(__init__)
       68    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
